idx,smiles,count
bide-uc-4448,O=C(O)Cc1cccc(Br)c1Cl,4
bide-uc-1879,O=C(O)c1cc(F)cc(Br)c1Cl,4
bide-uc-2663,O=C(O)C1CNC1,4
bide-uc-505,CC(C)C(Br)C(=O)O,4
bide-uc-3147,CC(=Cc1ccc(F)cc1)C(=O)O,4
bide-uc-1965,COc1cccc(Cl)c1C(=O)O,4
bide-uc-1339,O=C(O)c1cc(O)ccc1F,4
bide-uc-669,COc1ccc(C(=O)O)cc1Br,4
bide-uc-685,COc1ccc(C(=O)O)cc1F,4
bide-uc-582,CN1CCC(C(=O)O)CC1,4
bide-uc-3133,O=C(O)c1ccc(C(F)F)cc1,4
bide-uc-5206,CC(C)N1CC(C(=O)O)C1,4
bide-uc-14,O=C([O-])c1ccccc1,4
bide-uc-180,O=C(O)Cc1ccc(F)cc1,4
bide-uc-3919,CC(C(=O)O)c1ccccc1Cl,4
bide-uc-4364,O=C(O)C(F)(F)c1ccc(Cl)cc1,4
bide-uc-3185,O=CN1CCC[C@H]1C(=O)O,4
bide-uc-186,CC(C(=O)O)c1ccccc1,4
bide-uc-2460,O=C(O)C1(c2cccc(Cl)c2)CC1,4
bide-uc-5080,C=C(CO)C(=O)O,4
bide-uc-244,O=C(O)C(O)c1ccc(Cl)cc1,4
bide-uc-1630,CO[C@@H](C)C(=O)O,4
bide-uc-2992,Cc1ccc(C2(C(=O)O)CC2)cc1,4
bide-uc-455,O=C(O)C1CCCC1,4
bide-uc-291,O=C(O)C(Cl)Cl,4
bide-uc-781,O=C(O)Cc1ccc(F)cc1F,4
bide-uc-534,Cc1ccc(Br)cc1C(=O)O,4
bide-uc-698,O=C(O)c1c(F)cccc1Br,4
bide-uc-2896,O=C(O)C1(F)CCNCC1,4
bide-uc-4883,O=C(O)c1ccc(Br)c(F)c1O,4
bide-uc-5,CCC(=O)[O-],4
bide-uc-1024,O=C([O-])CBr,4
bide-uc-3899,Cc1ccc(F)c(C(=O)O)c1Br,4
bide-uc-2727,O=C(O)c1cc(F)c(F)c(Cl)c1,4
bide-uc-9,Cc1ccc(C(=O)O)cc1,4
bide-uc-93,CCC(C)C(=O)O,4
bide-uc-346,O=C(O)c1c(F)cccc1F,4
bide-uc-2167,COc1ccc(F)c(C(=O)O)c1F,4
bide-uc-306,COc1c(F)c(F)cc(C(=O)O)c1F,4
bide-uc-4111,O=C(O)c1cc(F)cc(Br)c1F,4
bide-uc-552,Cc1ccc(C(=O)O)c(F)c1,4
bide-uc-1674,O=C(O)c1cc(F)c(F)c(O)c1F,4
bide-uc-242,O=C(O)c1cc(F)c(F)c(F)c1F,4
bide-uc-4749,COc1cc(C(=O)O)cc(F)c1F,4
bide-uc-260,O=C(O)c1cc(F)ccc1Br,4
bide-uc-1017,Cc1ccc(C(=O)O)cc1C(F)(F)F,3
bide-uc-5173,O=C(O)c1c(F)cc(C(F)(F)F)cc1F,3
bide-uc-832,O=C(O)Cc1ccc(F)c(Br)c1,3
