idx,smiles,count
bide-uc-736,COc1ccc(Cl)cc1C=O,3
bide-uc-1444,COc1ccc(C(F)(F)F)cc1C=O,3
bide-uc-2988,CC(C)(C)c1ccc(C=O)c(O)c1,2
bide-uc-3614,C#Cc1cccc(C=O)c1,2
bide-uc-531,O=Cc1cc(Cl)cc(Br)c1O,2
bide-uc-1693,O=Cc1c[nH]c(-c2ccccc2F)c1,2
bide-uc-126,O=Cc1cccc2ccccc12,2
bide-uc-2209,O=Cc1ccc(CO)cc1,2
bide-uc-80,CC1=CC(C)C(C=O)CC1,2
bide-uc-4120,O=Cc1c[nH]c2cc(F)c(F)cc12,2
bide-uc-2844,Cn1cc(C=O)c2ccc(F)cc21,2
bide-uc-5325,CC1Cc2cc(C=O)ccc2N1C,2
bide-uc-1044,COc1ccc(C=O)c(Cl)c1O,2
bide-uc-1039,O=Cc1ccc(Br)o1,2
bide-uc-1341,Cc1ccc(C=O)c(Cl)c1,2
bide-uc-1225,Cc1ccc(C)c(C=O)c1,2
bide-uc-3413,CNc1ccc(C=O)c(C(F)(F)F)c1,2
bide-uc-5188,CCc1cc(Br)ccc1C=O,2
bide-uc-3525,O=Cc1ccc(Br)c(O)c1,2
bide-uc-2205,COc1c(C)cccc1C=O,2
bide-uc-1177,Cc1cc(Br)cc(C=O)c1,2
bide-uc-928,O=CCN1C(=O)c2ccccc2C1=O,2
bide-uc-1348,O=Cc1cc(F)cc(Cl)c1O,2
bide-uc-1963,O=Cc1cc(Br)cc(F)c1O,2
bide-uc-906,O=Cc1cc(O)ccc1Br,2
bide-uc-266,O=Cc1cc(Cl)ccc1O,2
bide-uc-1192,COc1ccc(C=O)cc1C,2
bide-uc-449,COc1ccc(C=O)cc1Br,2
bide-uc-2812,O=Cc1cccc(F)c1C(F)(F)F,2
bide-uc-2734,O=Cc1ccc(O)cc1C(F)(F)F,2
bide-uc-4089,O=Cc1cc(C(F)(F)F)ccc1O,2
bide-uc-78,CC(C)c1ccc(C=O)cc1,2
bide-uc-1357,COc1cc(O)ccc1C=O,2
bide-uc-2607,COc1c(Br)cccc1C=O,2
bide-uc-1619,O=Cc1cccc(Br)c1O,2
bide-uc-1190,COc1ccc(C=O)c(Br)c1,2
bide-uc-2298,O=CCC(F)(F)F,2
bide-uc-2302,COc1cc(Cl)cc(C=O)c1,2
bide-uc-68,O=Cc1ccc(Cl)cc1Cl,2
bide-uc-2834,O=Cc1cc(O)ccc1F,2
bide-uc-650,Cc1cc(C)cc(C=O)c1,2
bide-uc-3575,O=Cc1ccc(F)c2ccccc12,2
bide-uc-2287,O=Cc1cc(F)c(F)cc1Cl,2
bide-uc-4375,O=Cc1c(F)cc(Cl)cc1Cl,2
bide-uc-1661,O=Cc1ccc(O)cc1Cl,2
bide-uc-1162,O=Cc1cccc(F)c1O,2
bide-uc-139,O=Cc1c(Cl)cccc1Cl,2
bide-uc-158,O=Cc1cccc(Cl)c1Cl,2
bide-uc-3886,COc1cc(C=O)cc(F)c1O,2
bide-uc-760,O=Cc1ccc(Br)cc1Cl,2
bide-uc-711,Cc1ccc(C=O)cc1Br,2
bide-uc-1007,O=Cc1c(F)cccc1C(F)(F)F,2
bide-uc-2901,CCc1cccc(C=O)c1,2
bide-uc-814,COc1ccc(O)c(C=O)c1,2
bide-uc-1079,COc1cc(Br)c(C=O)cc1O,2
bide-uc-477,CCc1ccc(C=O)cc1,2
bide-uc-2322,Cc1cc(F)c(C=O)c(Br)c1,2
bide-uc-982,O=CC1CCCC1,2
bide-uc-2182,COc1cc(Br)cc(C=O)c1,2
